"situacao";"dat_alteracao";"codigo";"descricao";"cod_pai";"cod_filhos";"cod_filhos_ativos";"nivel"
"A";"";"13999";"Multa do Artigo 467 da CLT ";"13970.0";"";"";"5"
"A";"";"14000";"Multa do Artigo  477 da CLT";"13970.0";"";"";"5"
"A";"";"14001";"Saldo de Salário";"13970.0";"";"";"5"
"A";"";"14002";"Contrato de Experiência";"13994.0";"";"";"6"
"A";"";"14003";"Culpa Recíproca";"13994.0";"";"";"6"
"A";"";"14004";"Indenizado - Efeitos";"13994.0";"";"";"6"
"A";"";"14005";"Proporcional";"13994.0";"";"";"6"
"A";"";"14006";"Expurgos Inflacionários";"13998.0";"";"";"6"
"A";"";"14007";"Responsabilidade Civil do Empregador";"12936.0";"14008,14009,14010,14011,14012,14013,14014,14015,14016,14017,14018,14019,14020,14021,14022,14023,14024,14025,14026,14027,14028,14029,14030";"14008,14009,14010,14011,14012,14013,14014,14015,14016,14017,14018,14019,14020,14021,14022,14023,14024,14025,14026,14027,14028,14029,14030";"3"
"A";"";"14008";"Indenização por Dano Estético";"14007.0";"";"";"4"
"A";"";"14009";"Indenização por Dano Material";"14007.0";"14012,14013,14014,14015";"14012,14013,14014,14015";"4"
"A";"";"14010";"Indenização por Dano Moral";"14007.0";"14016,14017,14018,14019,14020,14021,14022,14023,14024,14025,14026,14027,14028,14029,14030";"14016,14017,14018,14019,14020,14021,14022,14023,14024,14025,14026,14027,14028,14029,14030";"4"
"A";"";"14011";"Indenização por Dano Moral Coletivo";"14007.0";"";"";"4"
"A";"";"14012";"Acidente de Trabalho";"14009.0";"";"";"5"
"A";"";"14013";"Constituição de Capital";"14009.0";"";"";"5"
"A";"";"14014";"Doença Ocupacional";"14009.0";"";"";"5"
"A";"";"14015";"Pensão Vitalícia";"14009.0";"";"";"5"
"A";"";"14016";"Acidente de Trabalho";"14010.0";"";"";"5"
"A";"";"14017";"Anotação/Retenção da CTPS";"14010.0";"";"";"5"
"A";"";"14018";"Assédio Moral";"14010.0";"";"";"5"
"A";"";"14019";"Assédio Sexual";"14010.0";"";"";"5"
"A";"";"14020";"Atos Discriminatórios";"14010.0";"";"";"5"
"A";"";"14021";"Condições Degradantes";"14010.0";"";"";"5"
"A";"";"14022";"Controle de Correspondência Eletrônica";"14010.0";"";"";"5"
"A";"";"14023";"Desconfiguração de Justa Causa";"14010.0";"";"";"5"
"A";"";"14024";"Doença Ocupacional";"14010.0";"";"";"5"
"A";"";"14025";"Fixação do Quantum";"14010.0";"";"";"5"
"A";"";"14026";"Limitação de Uso do Banheiro";"14010.0";"";"";"5"
"A";"";"14027";"Lista Suja";"14010.0";"";"";"5"
"A";"";"14028";"Quebra de sigilo Bancário";"14010.0";"";"";"5"
"A";"";"14029";"Revistas Íntimas/Pertences";"14010.0";"";"";"5"
"A";"";"14030";"Valor Arbitrado";"14010.0";"";"";"5"
"A";"";"14031";"Responsabilidade Civil em Outras Relações de Trabalho";"12936.0";"14032,14033";"14032,14033";"3"
"A";"";"14032";"Indenização por Dano Material";"14031.0";"";"";"4"
"A";"";"14033";"Indenização por Dano Moral";"14031.0";"";"";"4"
"A";"";"14034";"Responsabilidade Solidária/Subsidiária";"12936.0";"14035,14036,14037,14038,14039,14040,14120,14041,14042,14043,14044,14045";"14035,14036,14037,14038,14039,14040,14120,14041,14042,14043,14044,14045";"3"
"A";"";"14035";"Concessão de Serviço Público";"14034.0";"";"";"4"
"A";"";"14036";"Grupo Econômico";"14034.0";"";"";"4"
"A";"";"14037";"Sócio/Acionista";"14034.0";"";"";"4"
"A";"";"14038";"Sócio Retirante";"14034.0";"";"";"4"
"A";"";"14039";"Sucessão de Empregadores";"14034.0";"14041";"14041";"4"
"A";"";"14040";"Terceirização/Tomador de Serviços";"14034.0";"14042,14043,14044,14045";"14042,14043,14044,14045";"4"
"A";"";"14041";"Bancos";"14039.0";"";"";"5"
"A";"";"14042";"Empreitada/Dono da Obra";"14040.0";"";"";"5"
"A";"";"14043";"Ente Público";"14040.0";"";"";"5"
"A";"2020-11-18 14:06:34";"14044";"Isonomia Salarial";"14040.0";"";"";"5"
"A";"";"14045";"Licitude/Ilicitude";"14040.0";"";"";"5"
"A";"";"14046";"Prescrição";"12942.0";"14047,14048,14049,14050,14051,14052,14053,14054,14055,14056,14057,14058,14059,14060,14061,14062,14063,14064";"14047,14048,14049,14050,14051,14052,14053,14054,14055,14056,14057,14058,14059,14060,14061,14062,14063,14064";"3"
"A";"";"14047";"Ação Meramente Declaratória";"14046.0";"";"";"4"
"A";"";"14048";"Acidente de trabalho";"14046.0";"";"";"4"
"A";"";"14049";"Alteração Contratual";"14046.0";"";"";"4"
"A";"";"14050";"Complementação de Aposentadoria/Pensão";"14046.0";"";"";"4"
"A";"";"14051";"Comissões - Alteração ou Supressão";"14046.0";"";"";"4"
"A";"";"14052";"Contagem do Prazo";"14046.0";"";"";"4"
"A";"";"14053";"Contribuições Previdenciárias";"14046.0";"";"";"4"
"A";"";"14054";"Desvio de Função e Reenquadramento";"14046.0";"";"";"4"
"A";"";"14055";"Expurgos Inflacionários";"14046.0";"";"";"4"
"A";"2020-11-18 14:15:50";"14056";"FGTS";"14046.0";"";"";"4"
"A";"";"14057";"Intercorrente";"14046.0";"";"";"4"
"A";"";"14058";"Interrupção";"14046.0";"14060,14061,14062,14063,14064";"14060,14061,14062,14063,14064";"4"
"A";"";"14059";"Regime Jurídico - Mudança";"14046.0";"";"";"4"
"A";"";"14060";"Ação Ajuizada pelo Sindicato como Substituto Processual";"14058.0";"";"";"5"
"A";"";"14061";"Ação Trabalhista Arquivada";"14058.0";"";"";"5"
"A";"";"14062";"Ato Inequívoco que Importe no Reconhecimento do Direito";"14058.0";"";"";"5"
"A";"";"14063";"Ato Judicial que Constitua em Mora o Devedor";"14058.0";"";"";"5"
"A";"";"14064";"Protesto Judicial";"14058.0";"";"";"5"
"A";"";"14066";"Mora";"7691.0";"";"";"4"
"A";"";"14067";"Legitimidade Ativa e Passiva";"12963.0";"";"";"4"
"A";"";"14068";"Exceção de Incompetência Territorial";"8828.0";"";"";"3"
"A";"";"14069";"Ausência de Impugnação da Conta de Liquidação/Preclusão";"9148.0";"";"";"3"
"A";"";"14070";"Fazenda Pública";"10684.0";"";"";"5"
"A";"";"14072";"Litigância de Má Fé";"12941.0";"";"";"3"
"A";"";"14073";"Fac-Símilie/E-mail";"13020.0";"";"";"4"
"A";"";"14074";"Hora Extra/Intervalo";"13237.0";"";"";"5"
"A";"";"14075";"Preparo";"13292.0";"14076,14077";"14076,14077";"5"
"A";"";"14076";"Custas";"14075.0";"";"";"6"
"A";"";"14077";"Depósito";"14075.0";"";"";"6"
